,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,LoopDesc,StopSequence,BusStopCode,TotalDistance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus
0,599,SMRT,1,FLAT FARE $5.00,64449.0,3218.0,No Loop,18,03218,17.5,0833,0833,-,-,-,-
1,598,SMRT,1,FLAT FARE $5.00,44859.0,3218.0,No Loop,30,03218,20.9,0845,0855,-,-,-,-
2,590,SMRT,1,FLAT FARE $5.00,45421.0,3218.0,No Loop,25,03218,26.2,0850,0900,-,-,-,-
3,589,SMRT,1,FLAT FARE $4.00,17429.0,3011.0,No Loop,20,03011,17.3,0843,0843,-,-,-,-
4,588,SMRT,1,FLAT FARE $4.00,53369.0,3218.0,No Loop,25,03218,17.0,0841,0841,-,-,-,-
5,587,SMRT,1,FLAT FARE $5.00,46861.0,3218.0,No Loop,32,03218,29.7,0853,0853,-,-,-,-
6,546,SMRT,1,FLAT FARE $3.50,60221.0,3218.0,No Loop,15,03218,8.0,0832,0832,-,-,-,-
7,531,SMRT,2,FLAT FARE $5.00,3222.0,96121.0,No Loop,33,96121,20.7,1903,1933,-,-,-,-
8,530,SMRT,1,FLAT FARE $3.50,13051.0,3218.0,No Loop,15,03218,5.4,0840,0855,-,-,-,-
9,529,SMRT,1,FLAT FARE $2.70,55509.0,55509.0,No Loop,19,55509,5.7,-,-,1518,2018,-,-
10,761,SBST,1,FLAT FARE $4.20,56251.0,3011.0,No Loop,18,03011,17.8,0836,0846,-,-,-,-
11,585,SBST,1,FLAT FARE $4.20,82009.0,3011.0,No Loop,19,03011,17.7,0832,0842,-,-,-,-
12,569,SBST,1,FLAT FARE $4.50,65009.0,3011.0,No Loop,17,03011,27.5,0838,0838,-,-,-,-
13,565,SBST,1,FLAT FARE $4.00,52471.0,3011.0,No Loop,14,03011,11.4,0828,0828,-,-,-,-
14,564,SBST,1,FLAT FARE $4.00,41119.0,3011.0,No Loop,19,03011,10.7,0829,0834,-,-,-,-
15,563,SBST,1,FLAT FARE $4.20,42011.0,3011.0,No Loop,13,03011,17.2,0845,0845,-,-,-,-
16,561,SBST,1,FLAT FARE $4.00,70059.0,3011.0,No Loop,13,03011,12.7,0829,0829,-,-,-,-
17,560,SBST,1,FLAT FARE $4.20,12169.0,3011.0,No Loop,17,03011,15.5,0825,0837,-,-,-,-
18,553,SBST,1,FLAT FARE $4.50,75009.0,3011.0,No Loop,17,03011,27.0,0844,0844,-,-,-,-
19,552,SBST,1,FLAT FARE $4.50,75009.0,3011.0,No Loop,18,03011,26.9,0845,0845,-,-,-,-
20,539,SBST,1,FLAT FARE $4.50,77009.0,3011.0,No Loop,17,03011,29.7,0832,0842,-,-,-,-
21,538,SBST,1,FLAT FARE $4.50,77009.0,3011.0,No Loop,22,03011,30.7,0832,0842,-,-,-,-
22,536,SBST,1,FLAT FARE $4.50,22009.0,3011.0,No Loop,15,03011,24.1,0837,0837,-,-,-,-
23,535,SBST,1,FLAT FARE $4.20,52371.0,3011.0,No Loop,19,03011,17.4,0843,0843,-,-,-,-
24,534,SBST,1,FLAT FARE $4.20,63219.0,3011.0,No Loop,17,03011,17.0,0850,0850,-,-,-,-
25,533,SBST,1,FLAT FARE $4.20,28009.0,3011.0,No Loop,24,03011,18.8,0821,0831,-,-,-,-
26,243,SBST,2,FEEDER,22009.0,22009.0,Jurong West Ave 5,15,22009,5.1,0548,0103,0556,0103,0554,0103
27,225,SBST,2,FEEDER,84009.0,84009.0,Bedok North St 3,8,84009,3.3,0536,0017,0534,0015,0602,0018
28,990,TTS,1,TRUNK,43009.0,43009.0,Jurong Gateway Rd,28,43009,11.5,0553,0042,0552,0040,0552,0039
29,98M,TTS,1,TRUNK,28009.0,28009.0,Corporation Rd,47,28009,18.5,1054,1755,1055,1318,1041,1702
30,98B,TTS,1,TRUNK,28501.0,21099.0,No Loop,27,21099,13.4,0629,0857,-,-,-,-
31,98A,TTS,1,TRUNK,28091.0,21179.0,No Loop,11,21179,9.0,1832,2027,-,-,-,-
32,98,TTS,1,TRUNK,28009.0,28009.0,Jurong Pier Way,68,28009,26.5,0636,0132,0632,0134,0631,0130
33,97e,TTS,2,EXPRESS,2099.0,28009.0,No Loop,29,28009,23.2,1914,2000,-,-,-,-
34,974A,TTS,1,TRUNK,44029.0,44539.0,No Loop,9,44539,3.9,2354,0124,2354,0124,2354,0124
35,974,TTS,2,TRUNK,24009.0,44031.0,No Loop,24,44031,17.3,0625,0008,0625,0007,0625,0007
36,97,TTS,2,TRUNK,2099.0,28009.0,No Loop,45,28009,23.2,0703,0053,0700,0052,0700,0051
37,96B,TTS,1,TRUNK,17009.0,17171.0,No Loop,14,17171,6.6,1634,1838,-,-,-,-
38,96A,TTS,1,TRUNK,17009.0,16169.0,No Loop,10,16169,4.2,0738,0951,-,-,-,-
39,96,TTS,1,TRUNK,17009.0,17009.0,Kent Ridge Cres,15,17009,6.8,0716,2356,0727,2355,0726,2325
40,947,TTS,1,FEEDER,43009.0,43009.0,Bt Batok Rd,14,43009,5.0,0546,0117,0547,0117,0547,0118
41,945,TTS,1,FEEDER,43009.0,43009.0,Bt Batok St 34,19,43009,7.3,0559,0128,0600,0128,0558,0128
42,941,TTS,1,FEEDER,43009.0,43009.0,Bukit Batok West Avenue 9,19,43009,6.8,0548,0125,0548,0124,0548,0124
43,79A,TTS,1,TRUNK,28009.0,22009.0,No Loop,28,22009,12.3,2305,2334,2317,2318,2319,2339
44,79,TTS,1,TRUNK,28009.0,28009.0,Jurong West Ctrl 3,55,28009,24.0,0637,2336,0640,2338,0633,2337
45,78A,TTS,1,TRUNK,28009.0,29121.0,Tg Penjuru,16,29121,5.9,0742,0849,-,-,-,-
46,78,TTS,1,TRUNK,28009.0,28009.0,Clementi Ave 3,57,28009,24.9,0543,0134,0543,0135,0613,0133
47,77,TTS,2,TRUNK,2099.0,43009.0,No Loop,49,43009,18.8,0656,0030,0732,0033,0731,0032
48,66B,TTS,2,TRUNK,28009.0,7031.0,No Loop,47,07031,31.5,-,-,-,-,1838,2005
49,66A,TTS,1,TRUNK,84009.0,40011.0,No Loop,43,40011,15.9,-,-,-,-,1919,1938
50,665,TTS,2,EXPRESS,3241.0,46149.0,No Loop,23,46149,30.8,1935,1950,-,-,-,-
51,663,TTS,2,EXPRESS,3241.0,59599.0,No Loop,22,59599,26.1,1928,1943,-,-,-,-
52,66,TTS,2,TRUNK,28009.0,84009.0,No Loop,86,84009,32.6,0613,0037,0713,0046,0750,0040
53,49,TTS,1,TRUNK,28009.0,28009.0,Jurong West St 42,49,28009,23.5,0643,0051,0641,0055,0638,0055
54,41,TTS,1,TRUNK,28009.0,28009.0,Jln Anak Bt,37,28009,14.4,0625,0036,0623,0038,0623,0038
55,335,TTS,1,FEEDER,28009.0,28009.0,Jurong West St 41,30,28009,10.2,0605,0127,0606,0126,0605,0124
56,334,TTS,1,FEEDER,28009.0,28009.0,Jurong West St 42,25,28009,9.0,0536,0141,0537,0138,0537,0139
57,333,TTS,1,FEEDER,28009.0,28009.0,Jurong East St 32,24,28009,10.5,0539,0127,0544,0128,0547,0124
58,285,TTS,1,FEEDER,17009.0,17009.0,Pandan Loop,19,17009,7.8,0611,0103,0627,0059,0624,0058
59,284,TTS,1,FEEDER,17009.0,17009.0,Clementi Ave 4,5,17009,1.7,0603,0038,0603,0038,0603,0038
60,282,TTS,1,FEEDER,17009.0,17009.0,Clementi West St 2,12,17009,5.8,0559,0055,0611,0056,0608,0053
61,189A,TTS,1,TRUNK,43009.0,43319.0,Bt Batok St 23,8,43319,2.9,0720,0910,2342,0111,2343,0113
62,189,TTS,1,TRUNK,43009.0,43009.0,Clementi Ave 1,31,43009,16.4,0634,0008,0638,0005,0641,0005
63,183B,TTS,1,TRUNK,28009.0,28189.0,No Loop,11,28189,4.0,0734,0906,-,-,-,-
64,183,TTS,1,TRUNK,28009.0,28009.0,Science Pk Rd,57,28009,22.6,0706,0041,0658,0045,0654,0044
65,177,TTS,1,TRUNK,43009.0,43009.0,Jelebu Rd,27,43009,11.9,0634,0925,-,-,-,-
66,173A,TTS,1,TRUNK,43009.0,43169.0,Bt Batok East Ave 4,8,43169,2.9,2356,0111,2359,0111,2359,0111
67,173,TTS,1,TRUNK,43009.0,43009.0,Clementi Ave 3,63,43009,27.4,0605,0053,0638,0053,0645,0053
68,143M,TTS,1,TRUNK,28009.0,28009.0,Pandan Gdns,28,28009,9.7,0547,0138,0545,0138,0546,0137
69,143,TTS,2,TRUNK,28009.0,52009.0,No Loop,76,52009,28.8,0630,0049,0628,0114,0710,0046
70,106A,TTS,1,TRUNK,43009.0,17179.0,No Loop,12,17179,5.1,0700,0909,-,-,-,-
71,106,TTS,2,TRUNK,3239.0,43009.0,No Loop,50,43009,22.3,0649,0041,0634,0043,0659,0044
72,NR8,SMRT,1,NIGHT RIDER,2099.0,43609.0,Bt Batok West Ave 5,61,43609,24.6,-,-,0032,0258,-,-
73,NR7,SMRT,1,NIGHT RIDER,2099.0,98029.0,No Loop,106,98029,41.1,-,-,0117,0342,-,-
74,NR6,SMRT,1,NIGHT RIDER,14519.0,67171.0,Anchorvale Dr,87,67171,36.7,-,-,0055,0324,-,-
75,NR5,SMRT,1,NIGHT RIDER,2099.0,22449.0,No Loop,88,22449,34.0,-,-,0056,0326,-,-
76,NR3,SMRT,1,NIGHT RIDER,5029.0,44009.0,No Loop,65,44009,31.0,-,-,0044,0314,-,-
77,NR2,SMRT,1,NIGHT RIDER,2099.0,58291.0,Sembawang Dr,58,58291,37.0,-,-,0044,0316,-,-
78,NR1,SMRT,1,NIGHT RIDER,14519.0,59561.0,Yishun Ring Rd,93,59561,43.2,-,-,0102,0334,-,-
79,BPS1,SMRT,2,TRUNK,44539.0,44691.0,No Loop,8,44691,4.9,1820,2000,-,-,-,-
80,991B,SMRT,1,TRUNK,44009.0,44099.0,No Loop,6,44099,3.0,0029,0106,0029,0106,0029,0106
81,991A,SMRT,1,TRUNK,43009.0,43341.0,No Loop,6,43341,1.8,0023,0108,0023,0108,0023,0108
82,991,SMRT,2,TRUNK,44009.0,43009.0,No Loop,26,43009,11.7,0540,0042,0540,0041,0540,0041
83,985,SMRT,2,TRUNK,80009.0,44009.0,No Loop,42,44009,26.0,0529,0036,0528,0036,0541,0035
84,983A,SMRT,1,TRUNK,44009.0,44131.0,No Loop,12,44131,4.5,0018,0113,0018,0113,0018,0113
85,983,SMRT,1,TRUNK,44009.0,44009.0,Jelebu Rd,30,44009,11.7,0537,0036,0537,0035,0537,0035
86,982E,SMRT,2,EXPRESS,3539.0,44581.0,No Loop,22,44581,26.6,1931,1946,-,-,-,-
87,981,SMRT,2,TRUNK,47121.0,58009.0,No Loop,21,58009,8.3,1724,1954,1223,1423,-,-
88,980,SMRT,2,TRUNK,80009.0,58009.0,No Loop,61,58009,24.6,0628,0032,0624,0033,0700,0037
89,979,SMRT,1,TRUNK,45009.0,45009.0,Choa Chu Kang Cres,38,45009,11.8,0618,0044,0618,0047,0618,0047
90,975B,SMRT,1,TRUNK,44531.0,33041.0,No Loop,33,33041,13.4,0655,0822,1943,2036,1619,2346
91,975,SMRT,1,TRUNK,45009.0,45009.0,Lim Chu Kang Rd,92,45009,36.6,0619,0015,0616,0023,0632,0017
92,973A,SMRT,1,TRUNK,45009.0,44229.0,No Loop,4,44229,1.5,0037,0117,0037,0117,0037,0117
93,973,SMRT,1,TRUNK,45009.0,45009.0,Hume Ave,29,45009,10.7,0550,0054,0550,0053,0550,0053
94,972A,SMRT,1,TRUNK,45009.0,8057.0,No Loop,28,08057,19.6,0008,0025,0010,0025,2352,0024
95,972,SMRT,1,TRUNK,45009.0,45009.0,Bencoolen St,63,45009,40.2,0701,0053,0721,0054,0720,0034
96,971E,SMRT,2,EXPRESS,3223.0,481.0,No Loop,34,00481,22.4,1927,1952,-,-,-,-
97,970,SMRT,2,TRUNK,3239.0,45009.0,No Loop,66,45009,24.7,0710,0045,0706,0046,0704,0047
98,969A,SMRT,1,TRUNK,75009.0,59079.0,No Loop,15,59079,20.7,0916,0916,-,-,-,-
99,969,SMRT,2,TRUNK,75009.0,46009.0,No Loop,28,46009,27.2,0640,0049,0629,0045,0647,0045
100,966,SMRT,1,TRUNK,46009.0,46009.0,Marine Parade Rd,63,46009,63.6,0652,0034,0709,0040,0708,0039
101,965A,SMRT,1,TRUNK,46009.0,59073.0,No Loop,14,59073,7.4,0655,0734,-,-,-,-
102,965,SMRT,1,TRUNK,46009.0,46009.0,Sengkang Sq,55,46009,42.5,0619,0014,0619,0012,0632,0014
103,964,SMRT,1,TRUNK,46009.0,46009.0,Nth Woodlands Link,27,46009,9.9,0640,2323,0637,1741,-,-
104,963R,SMRT,2,EXPRESS,14519.0,46009.0,No Loop,31,46009,31.6,-,-,0945,0044,0952,0045
105,963e,SMRT,2,EXPRESS,14009.0,46009.0,No Loop,29,46009,29.2,1935,2005,-,-,-,-
106,963,SMRT,2,TRUNK,14009.0,46009.0,No Loop,51,46009,29.2,0652,0041,0644,0037,0714,0037
107,962C,SMRT,1,TRUNK,47571.0,47591.0,No Loop,5,47591,3.1,0644,0801,-,-,-,-
108,962B,SMRT,1,TRUNK,58259.0,58251.0,No Loop,12,58251,4.6,0659,0958,-,-,-,-
109,962,SMRT,1,TRUNK,46009.0,46009.0,Admiralty St,46,46009,16.8,0620,0047,0619,0053,0635,0046
110,961C,SMRT,2,TRUNK,80009.0,46009.0,No Loop,95,46009,37.4,-,-,-,-,0734,0102
111,961,SMRT,2,TRUNK,80009.0,46009.0,No Loop,94,46009,35.6,0723,0116,0647,0054,-,-
112,960e,SMRT,2,EXPRESS,2099.0,46009.0,No Loop,26,46009,24.3,0840,0026,0833,0026,0833,0033
113,960,SMRT,2,TRUNK,2099.0,46009.0,No Loop,49,46009,27.3,0752,0039,0747,0038,0752,0042
114,951E,SMRT,2,EXPRESS,3222.0,46441.0,No Loop,23,46441,29.5,1930,1945,-,-,-,-
115,950,SMRT,1,TRUNK,46009.0,46009.0,Jln Jim Quee,29,46009,24.4,0608,0040,0611,0036,0615,0037
116,944,SMRT,1,FEEDER,43009.0,43009.0,Bt Batok Rd,14,43009,4.9,0550,0120,0550,0120,0550,0120
117,927,SMRT,1,TRUNK,44009.0,44009.0,Mandai Lake Rd,35,44009,18.5,0653,0045,0648,0050,0646,0049
118,926,SMRT,1,TRUNK,46009.0,46009.0,Mandai Lake Rd,17,46009,13.9,-,-,-,-,0914,1844
119,925C,SMRT,1,TRUNK,46009.0,46009.0,Neo Tiew Cres,41,46009,19.5,-,-,-,-,0722,2012
120,925,SMRT,2,TRUNK,44009.0,46009.0,No Loop,41,46009,17.7,0659,2059,0634,2054,-,-
121,922,SMRT,1,FEEDER,45009.0,45009.0,Bangkit Rd,28,45009,9.1,0613,0148,0612,0147,0612,0147
122,920,SMRT,1,FEEDER,45009.0,45009.0,Bangkit Rd,32,45009,8.4,0614,0148,0615,0148,0614,0148
123,913M,SMRT,1,FEEDER,46009.0,46009.0,Woodlands St 13,27,46009,10.7,0645,2343,0643,2343,0643,2343
124,913,SMRT,1,FEEDER,46009.0,46009.0,Woodlands Circle,33,46009,12.9,0543,0130,0600,0130,0600,0130
125,912M,SMRT,1,FEEDER,46008.0,46009.0,Woodlands St 41,16,46009,6.5,0635,0835,-,-,-,-
126,912B,SMRT,1,FEEDER,46008.0,46009.0,Woodlands Ctr Rd,25,46009,10.5,0617,0140,0613,0140,0610,0141
127,912A,SMRT,1,FEEDER,46009.0,46008.0,Woodlands Ave 7,18,46008,6.9,0608,0127,0604,0127,0604,0126
128,912,SMRT,1,FEEDER,46009.0,46009.0,Woodlands Ave 7,42,46009,17.4,0530,0100,0530,0100,0530,0100
129,911,SMRT,1,FEEDER,46009.0,46009.0,Woodlands Ave 2,28,46009,11.8,0531,0118,0520,0100,0530,0100
130,904,SMRT,1,FEEDER,46009.0,46009.0,Woodlands Cres,19,46009,8.0,0607,0136,0607,0136,0607,0136
131,903M,SMRT,1,FEEDER,46009.0,46009.0,Marsiling Lane,15,46009,5.6,0630,0830,-,-,-,-
132,903,SMRT,1,FEEDER,46009.0,46009.0,Woodlands Ctr Rd,22,46009,8.4,0534,0125,0553,0123,0601,0125
133,902,SMRT,1,FEEDER,46009.0,46269.0,No Loop,3,46269,1.1,0740,1008,-,-,-,-
134,901,SMRT,1,FEEDER,46009.0,46009.0,Woodlands Ave 6,15,46009,6.1,0553,0120,0549,0119,0603,0119
135,900A,SMRT,1,FEEDER,46009.0,46009.0,Woodlands Dr 17,18,46009,6.3,0657,0856,-,-,-,-
136,900,SMRT,1,FEEDER,46009.0,46009.0,Woodlands Dr 14,14,46009,4.9,0549,0118,0548,0118,0558,0119
137,883B,SMRT,1,TRUNK,59079.0,58539.0,No Loop,5,58539,2.2,2003,2203,-,-,-,-
138,883,SMRT,1,TRUNK,58009.0,58009.0,Yishun Ctrl 2,29,58009,11.8,0542,0111,0542,0118,0541,0118
139,882A,SMRT,1,TRUNK,58009.0,58501.0,No Loop,7,58501,2.3,1845,2039,-,-,-,-
140,882,SMRT,1,TRUNK,58009.0,58009.0,Sembawang Rd,24,58009,8.9,0541,0005,0541,0005,0605,2350
141,868E,SMRT,1,EXPRESS,43581.0,2161.0,No Loop,28,02161,23.2,0836,0851,-,-,-,-
142,860A,SMRT,1,TRUNK,59009.0,59569.0,No Loop,13,59569,3.9,0619,0917,0723,1014,0723,1011
143,859B,SMRT,1,TRUNK,58009.0,58009.0,Sembawang Cres,15,58009,5.0,0553,0116,0550,0113,0550,0113
144,859A,SMRT,1,TRUNK,58009.0,58009.0,Admiralty Link,16,58009,5.1,0551,0115,0548,0113,0546,0112
145,859,SMRT,1,TRUNK,58009.0,58009.0,Yishun Temp Int,48,58009,16.9,0642,0019,0631,0014,0631,0014
146,858A,SMRT,1,TRUNK,46009.0,59073.0,No Loop,24,59073,9.0,2356,0102,2356,0100,2359,0103
147,858,SMRT,1,TRUNK,46009.0,46009.0,PTB2 Basement,83,46009,73.5,0620,0154,0610,0154,0614,0155
148,857A,SMRT,1,TRUNK,59009.0,55081.0,No Loop,17,55081,7.6,0727,0739,-,-,-,-
149,857,SMRT,1,TRUNK,59009.0,59009.0,Temasek Ave,71,59009,43.3,0704,0027,0658,0022,0657,0026
150,856A,SMRT,1,TRUNK,46009.0,46069.0,No Loop,7,46069,3.4,1810,1953,-,-,-,-
151,856,SMRT,2,TRUNK,46009.0,59009.0,No Loop,39,59009,16.3,0610,0041,0610,0041,0630,0036
152,855,SMRT,2,TRUNK,14009.0,59009.0,No Loop,59,59009,26.4,0647,0042,0644,0038,0639,0037
153,854e,SMRT,1,EXPRESS,59009.0,84009.0,No Loop,33,84009,22.3,0740,0819,-,-,-,-
154,854,SMRT,2,TRUNK,84009.0,59009.0,No Loop,56,59009,22.4,0636,0047,0649,0045,0647,0043
155,853C,SMRT,2,TRUNK,94009.0,59009.0,No Loop,77,59009,31.3,-,-,-,-,0724,0058
156,853,SMRT,2,TRUNK,80009.0,59009.0,No Loop,46,59009,19.6,0653,0038,0644,0031,-,-
157,825,SMRT,1,TRUNK,55509.0,55509.0,Lentor Loop,15,55509,5.7,0650,2108,0650,1444,-,-
158,75A,SMRT,1,TRUNK,481.0,12099.0,No Loop,21,12099,8.6,0738,0738,-,-,-,-
159,75,SMRT,2,TRUNK,2099.0,481.0,No Loop,62,00481,25.6,0703,0053,0706,0055,0739,0049
160,700A,SMRT,1,TRUNK,481.0,481.0,Temasek Ave,67,00481,39.6,2058,0032,1524,0030,0554,0032
161,700,SMRT,2,TRUNK,3239.0,481.0,No Loop,38,00481,21.2,0550,2045,0551,1511,-,-
162,67W,SMRT,1,TRUNK,75009.0,40011.0,No Loop,39,40011,15.8,-,-,-,-,1708,1827
163,67A,SMRT,1,TRUNK,44009.0,41049.0,No Loop,31,41049,12.0,0545,2332,0545,2331,0604,2329
164,67,SMRT,2,TRUNK,75009.0,44009.0,No Loop,84,44009,33.2,0611,0110,0618,0107,0609,0108
165,657,SMRT,2,CITY_LINK,3539.0,28531.0,No Loop,20,28531,21.2,1928,1943,-,-,-,-
166,656,SMRT,2,EXPRESS,3241.0,58129.0,No Loop,23,58129,28.6,1934,1949,-,-,-,-
167,653,SMRT,2,CITY_LINK,3539.0,43268.0,No Loop,24,43268,21.6,1931,1946,-,-,-,-
168,61,SMRT,2,TRUNK,82009.0,43009.0,No Loop,91,43009,35.7,0704,0127,0706,0126,0713,0128
169,307A,SMRT,1,FEEDER,44009.0,44531.0,Choa Chu Kang St 62,18,44531,6.6,0650,0120,0737,1008,0742,1029
170,307,SMRT,1,FEEDER,44009.0,44009.0,Choa Chu Kang St 62,36,44009,11.9,0556,0118,0552,0112,0550,0113
171,302A,SMRT,1,FEEDER,45321.0,45329.0,No Loop,8,45329,2.3,0617,1937,-,-,-,-
172,302,SMRT,1,FEEDER,44009.0,44009.0,Choa Chu Kang Cres,23,44009,8.1,0541,0123,0541,0123,0540,0125
173,301,SMRT,1,FEEDER,44009.0,44009.0,Keat Hong Cl,20,44009,5.5,0528,0117,0528,0117,0528,0117
174,300,SMRT,1,FEEDER,44009.0,44009.0,Choa Chu Kang Ave 3,16,44009,5.8,0535,0121,0534,0123,0534,0122
175,190A,SMRT,1,TRUNK,44009.0,8057.0,No Loop,23,08057,18.7,0612,0845,-,-,-,-
176,190,SMRT,2,TRUNK,10499.0,44009.0,No Loop,35,44009,22.6,0624,0040,0623,0040,0622,0036
177,188R,SMRT,2,EXPRESS,14519.0,44009.0,No Loop,28,44009,23.8,-,-,0934,0028,0934,0028
178,188e,SMRT,1,EXPRESS,44009.0,14009.0,No Loop,37,14009,22.0,0818,0833,-,-,-,-
179,188,SMRT,2,TRUNK,14009.0,44009.0,No Loop,54,44009,22.2,0651,0031,0704,0032,0729,0029
180,187,SMRT,2,TRUNK,22009.0,46009.0,No Loop,41,46009,24.1,0609,0120,0606,0106,0620,0107
181,184,SMRT,1,TRUNK,481.0,481.0,C'wealth Ave West,55,00481,22.6,0641,0011,0706,0008,0700,0005
182,180A,SMRT,1,TRUNK,22009.0,44259.0,No Loop,26,44259,11.1,1916,0019,2346,0018,2348,0022
183,180,SMRT,1,TRUNK,22009.0,22009.0,Bt Panjang Rd,48,22009,21.4,0601,0006,0601,0005,0610,0011
184,178A,SMRT,1,TRUNK,46009.0,45139.0,No Loop,13,45139,4.9,0600,0858,-,-,-,-
