Year,Entity,Per capita plastic waste (kg/person/day),Sector
2010,Albania,0.069,Overall
2010,Algeria,0.144,Overall
2010,Angola,0.062,Overall
2010,Anguilla,0.252,Overall
2010,Antigua and Barbuda,0.66,Overall
2010,Argentina,0.183,Overall
2010,Aruba,0.252,Overall
2010,Australia,0.112,Overall
2010,Bahamas,0.39,Overall
2010,Bahrain,0.132,Overall
2010,Bangladesh,0.034,Overall
2010,Barbados,0.57,Overall
2010,Belgium,0.08,Overall
2010,Belize,0.172,Overall
2010,Benin,0.043,Overall
2010,Bermuda,0.252,Overall
2010,Bosnia and Herzegovina,0.144,Overall
2010,Brazil,0.165,Overall
2010,British Virgin Islands,0.252,Overall
2010,Brunei,0.026,Overall
2010,Bulgaria,0.154,Overall
2010,Cambodia,0.066,Overall
2010,Cameroon,0.046,Overall
2010,Canada,0.093,Overall
2010,Cape Verde,0.065,Overall
2010,Cayman Islands,0.252,Overall
2010,Channel Islands,0.252,Overall
2010,Chile,0.119,Overall
2010,China,0.121,Overall
2010,Christmas Island,0.252,Overall
2010,Cocos Islands,0.252,Overall
2010,Colombia,0.144,Overall
2010,Comoros,0.201,Overall
2010,Congo,0.069,Overall
2010,Cook Islands,0.144,Overall
2010,Costa Rica,0.258,Overall
2010,Cote d'Ivoire,0.103,Overall
2010,Croatia,0.252,Overall
2010,Cuba,0.089,Overall
2010,Curacao,0.252,Overall
2010,Cyprus,0.248,Overall
2010,Democratic Republic of Congo,0.045,Overall
2010,Denmark,0.047,Overall
2010,Djibouti,0.103,Overall
2010,Dominica,0.149,Overall
2010,Dominican Republic,0.144,Overall
2010,Ecuador,0.147,Overall
2010,Egypt,0.178,Overall
2010,El Salvador,0.147,Overall
2010,Equatorial Guinea,0.144,Overall
2010,Eritrea,0.045,Overall
2010,Estonia,0.176,Overall
2010,Faeroe Islands,0.252,Overall
2010,Falkland Islands,0.252,Overall
2010,Fiji,0.189,Overall
2010,Finland,0.234,Overall
2010,France,0.192,Overall
2010,French Guiana,0.144,Overall
2010,French Polynesia,0.252,Overall
2010,Gabon,0.054,Overall
2010,Gambia,0.048,Overall
2010,Georgia,0.068,Overall
2010,Germany,0.485,Overall
2010,Ghana,0.04,Overall
2010,Gibraltar,0.252,Overall
2010,Greece,0.2,Overall
2010,Greenland,0.252,Overall
2010,Grenada,0.325,Overall
2010,Guadeloupe,0.144,Overall
2010,Guam,0.252,Overall
2010,Guatemala,0.28,Overall
2010,Guernsey,0.252,Overall
2010,Guinea,0.03,Overall
2010,Guinea-Bissau,0.054,Overall
2010,Guyana,0.586,Overall
2010,Haiti,0.09,Overall
2010,Honduras,0.189,Overall
2010,Hong Kong,0.398,Overall
2010,Iceland,0.281,Overall
2010,India,0.01,Overall
2010,Indonesia,0.057,Overall
2010,Iran,0.144,Overall
2010,Iraq,0.103,Overall
2010,Ireland,0.43,Overall
2010,Israel,0.297,Overall
2010,Italy,0.134,Overall
2010,Jamaica,0.034,Overall
2010,Japan,0.171,Overall
2010,Jordan,0.144,Overall
2010,Kenya,0.027,Overall
2010,Kiribati,0.103,Overall
2010,Kuwait,0.686,Overall
2010,Latvia,0.124,Overall
2010,Lebanon,0.094,Overall
2010,Liberia,0.084,Overall
2010,Libya,0.144,Overall
2010,Lithuania,0.132,Overall
2010,Macao,0.368,Overall
2010,Madagascar,0.016,Overall
2010,Malaysia,0.198,Overall
2010,Maldives,0.322,Overall
2010,Malta,0.214,Overall
2010,Marshall Islands,0.192,Overall
2010,Martinique,0.252,Overall
2010,Mauritania,0.045,Overall
2010,Mauritius,0.23,Overall
2010,Mexico,0.087,Overall
2010,Micronesia (country),0.103,Overall
2010,Monaco,0.252,Overall
2010,Montenegro,0.144,Overall
2010,Montserrat,0.144,Overall
2010,Morocco,0.073,Overall
2010,Mozambique,0.015,Overall
2010,Myanmar,0.075,Overall
2010,Namibia,0.144,Overall
2010,Nauru,0.144,Overall
2010,Netherlands,0.424,Overall
2010,Netherlands Antilles,0.252,Overall
2010,New Caledonia,0.252,Overall
2010,New Zealand,0.331,Overall
2010,Nicaragua,0.143,Overall
2010,Nigeria,0.103,Overall
2010,Niue,0.252,Overall
2010,Norfolk Island,0.103,Overall
2010,North Korea,0.054,Overall
2010,Northern Mariana Islands,0.252,Overall
2010,Norway,0.28,Overall
2010,Oman,0.084,Overall
2010,Pakistan,0.103,Overall
2010,Palau,0.144,Overall
2010,Palestine,0.063,Overall
2010,Panama,0.145,Overall
2010,Papua New Guinea,0.103,Overall
2010,Peru,0.144,Overall
2010,Philippines,0.075,Overall
2010,Poland,0.097,Overall
2010,Portugal,0.265,Overall
2010,Puerto Rico,0.252,Overall
2010,Qatar,0.16,Overall
2010,Reunion,0.144,Overall
2010,Romania,0.042,Overall
2010,Russia,0.112,Overall
2010,Saint Helena,0.144,Overall
2010,Saint Kitts and Nevis,0.654,Overall
2010,Saint Lucia,0.522,Overall
2010,Saint Pierre and Miquelon,0.252,Overall
2010,Saint Vincent and the Grenadines,0.221,Overall
2010,Samoa,0.103,Overall
2010,Sao Tome and Principe,0.103,Overall
2010,Saudi Arabia,0.156,Overall
2010,Senegal,0.103,Overall
2010,Seychelles,0.358,Overall
2010,Sierra Leone,0.041,Overall
2010,Singapore,0.194,Overall
2010,Sint Maarten (Dutch part),0.252,Overall
2010,Slovenia,0.145,Overall
2010,Solomon Islands,0.103,Overall
2010,Somalia,0.054,Overall
2010,South Africa,0.24,Overall
2010,South Korea,0.112,Overall
2010,Spain,0.277,Overall
2010,Sri Lanka,0.357,Overall
2010,Sudan,0.103,Overall
2010,Suriname,0.163,Overall
2010,Sweden,0.048,Overall
2010,Syria,0.178,Overall
2010,Taiwan,0.252,Overall
2010,Tanzania,0.023,Overall
2010,Thailand,0.144,Overall
2010,Togo,0.057,Overall
2010,Tokelau,0.103,Overall
2010,Tonga,0.223,Overall
2010,Trinidad and Tobago,0.29,Overall
2010,Tunisia,0.144,Overall
2010,Turkey,0.212,Overall
2010,Turks and Caicos Islands,0.252,Overall
2010,Tuvalu,0.144,Overall
2010,Ukraine,0.103,Overall
2010,United Arab Emirates,0.199,Overall
2010,United Kingdom,0.215,Overall
2010,United States,0.335,Overall
2010,Uruguay,0.252,Overall
2010,Vanuatu,0.295,Overall
2010,Venezuela,0.252,Overall
2010,Vietnam,0.103,Overall
2010,Yemen,0.103,Overall
